sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
122;SDS011;56;-0.108;34.749;2019-09-01T02:02:21.506070+00:00;P1;41.93
121;DHT22;56;-0.108;34.749;2019-09-01T02:02:23.142740+00:00;humidity;94.70
121;DHT22;56;-0.108;34.749;2019-09-01T02:02:23.142740+00:00;temperature;19.00
122;SDS011;56;-0.108;34.749;2019-09-01T02:04:52.569764+00:00;P2;37.17
122;SDS011;56;-0.108;34.749;2019-09-01T02:04:52.569764+00:00;P1;40.77
121;DHT22;56;-0.108;34.749;2019-09-01T02:04:54.246246+00:00;humidity;94.80
121;DHT22;56;-0.108;34.749;2019-09-01T02:04:54.246246+00:00;temperature;19.00
122;SDS011;56;-0.108;34.749;2019-09-01T02:07:23.262861+00:00;P2;37.60
122;SDS011;56;-0.108;34.749;2019-09-01T02:07:23.262861+00:00;P1;41.30
121;DHT22;56;-0.108;34.749;2019-09-01T02:07:24.925179+00:00;humidity;95.20
121;DHT22;56;-0.108;34.749;2019-09-01T02:07:24.925179+00:00;temperature;19.00
122;SDS011;56;-0.108;34.749;2019-09-01T02:09:53.726823+00:00;P2;39.97
122;SDS011;56;-0.108;34.749;2019-09-01T02:09:53.726823+00:00;P1;44.07
121;DHT22;56;-0.108;34.749;2019-09-01T02:09:55.596197+00:00;humidity;94.90
121;DHT22;56;-0.108;34.749;2019-09-01T02:09:55.596197+00:00;temperature;18.90
122;SDS011;56;-0.108;34.749;2019-09-01T02:12:24.771601+00:00;P2;38.83
122;SDS011;56;-0.108;34.749;2019-09-01T02:12:24.771601+00:00;P1;42.80
121;DHT22;56;-0.108;34.749;2019-09-01T02:12:26.292300+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T02:12:26.292300+00:00;temperature;18.90
122;SDS011;56;-0.108;34.749;2019-09-01T02:14:56.479374+00:00;P2;40.03
122;SDS011;56;-0.108;34.749;2019-09-01T02:14:56.479374+00:00;P1;44.23
121;DHT22;56;-0.108;34.749;2019-09-01T02:14:58.229595+00:00;humidity;95.20
121;DHT22;56;-0.108;34.749;2019-09-01T02:14:58.229595+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:17:28.046041+00:00;P2;42.60
122;SDS011;56;-0.108;34.749;2019-09-01T02:17:28.046041+00:00;P1;47.17
121;DHT22;56;-0.108;34.749;2019-09-01T02:17:29.759399+00:00;humidity;95.30
121;DHT22;56;-0.108;34.749;2019-09-01T02:17:29.759399+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:19:58.545654+00:00;P2;40.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:19:58.545654+00:00;P1;45.53
121;DHT22;56;-0.108;34.749;2019-09-01T02:20:00.134746+00:00;humidity;95.50
121;DHT22;56;-0.108;34.749;2019-09-01T02:20:00.134746+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:22:29.137678+00:00;P2;42.07
122;SDS011;56;-0.108;34.749;2019-09-01T02:22:29.137678+00:00;P1;47.10
121;DHT22;56;-0.108;34.749;2019-09-01T02:22:30.873656+00:00;humidity;95.50
121;DHT22;56;-0.108;34.749;2019-09-01T02:22:30.873656+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:25:00.297539+00:00;P2;41.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:25:00.297539+00:00;P1;46.50
121;DHT22;56;-0.108;34.749;2019-09-01T02:25:02.269602+00:00;humidity;95.70
121;DHT22;56;-0.108;34.749;2019-09-01T02:25:02.269602+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:27:31.726667+00:00;P2;40.13
122;SDS011;56;-0.108;34.749;2019-09-01T02:27:31.726667+00:00;P1;44.60
121;DHT22;56;-0.108;34.749;2019-09-01T02:27:33.281896+00:00;humidity;95.70
121;DHT22;56;-0.108;34.749;2019-09-01T02:27:33.281896+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:30:02.729288+00:00;P2;40.03
122;SDS011;56;-0.108;34.749;2019-09-01T02:30:02.729288+00:00;P1;44.20
121;DHT22;56;-0.108;34.749;2019-09-01T02:30:05.849550+00:00;humidity;95.70
121;DHT22;56;-0.108;34.749;2019-09-01T02:30:05.849550+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:32:35.327840+00:00;P2;41.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:32:35.327840+00:00;P1;46.93
121;DHT22;56;-0.108;34.749;2019-09-01T02:32:36.739452+00:00;humidity;95.80
121;DHT22;56;-0.108;34.749;2019-09-01T02:32:36.739452+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:35:06.338952+00:00;P2;41.97
122;SDS011;56;-0.108;34.749;2019-09-01T02:35:06.338952+00:00;P1;46.80
121;DHT22;56;-0.108;34.749;2019-09-01T02:35:08.096042+00:00;humidity;95.80
121;DHT22;56;-0.108;34.749;2019-09-01T02:35:08.096042+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:37:37.867236+00:00;P2;41.10
122;SDS011;56;-0.108;34.749;2019-09-01T02:37:37.867236+00:00;P1;45.20
121;DHT22;56;-0.108;34.749;2019-09-01T02:37:40.251015+00:00;humidity;95.70
121;DHT22;56;-0.108;34.749;2019-09-01T02:37:40.251015+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:40:10.213770+00:00;P2;39.60
122;SDS011;56;-0.108;34.749;2019-09-01T02:40:10.213770+00:00;P1;43.57
121;DHT22;56;-0.108;34.749;2019-09-01T02:40:11.719015+00:00;humidity;95.70
121;DHT22;56;-0.108;34.749;2019-09-01T02:40:11.719015+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:42:41.274369+00:00;P2;40.13
122;SDS011;56;-0.108;34.749;2019-09-01T02:42:41.274369+00:00;P1;44.23
121;DHT22;56;-0.108;34.749;2019-09-01T02:42:42.866161+00:00;humidity;95.60
121;DHT22;56;-0.108;34.749;2019-09-01T02:42:42.866161+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:45:12.454468+00:00;P2;39.70
122;SDS011;56;-0.108;34.749;2019-09-01T02:45:12.454468+00:00;P1;43.87
121;DHT22;56;-0.108;34.749;2019-09-01T02:45:14.548211+00:00;humidity;95.80
121;DHT22;56;-0.108;34.749;2019-09-01T02:45:14.548211+00:00;temperature;18.90
122;SDS011;56;-0.108;34.749;2019-09-01T02:47:43.496225+00:00;P2;39.63
122;SDS011;56;-0.108;34.749;2019-09-01T02:47:43.496225+00:00;P1;43.67
121;DHT22;56;-0.108;34.749;2019-09-01T02:47:45.149697+00:00;humidity;95.40
121;DHT22;56;-0.108;34.749;2019-09-01T02:47:45.149697+00:00;temperature;18.90
122;SDS011;56;-0.108;34.749;2019-09-01T02:50:14.945040+00:00;P2;39.63
122;SDS011;56;-0.108;34.749;2019-09-01T02:50:14.945040+00:00;P1;43.87
121;DHT22;56;-0.108;34.749;2019-09-01T02:50:17.563463+00:00;humidity;95.30
121;DHT22;56;-0.108;34.749;2019-09-01T02:50:17.563463+00:00;temperature;18.90
122;SDS011;56;-0.108;34.749;2019-09-01T02:52:47.321752+00:00;P2;41.47
122;SDS011;56;-0.108;34.749;2019-09-01T02:52:47.321752+00:00;P1;45.57
121;DHT22;56;-0.108;34.749;2019-09-01T02:52:48.899487+00:00;humidity;95.10
121;DHT22;56;-0.108;34.749;2019-09-01T02:52:48.899487+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:55:18.558493+00:00;P2;41.40
122;SDS011;56;-0.108;34.749;2019-09-01T02:55:18.558493+00:00;P1;45.53
121;DHT22;56;-0.108;34.749;2019-09-01T02:55:20.617113+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T02:55:20.617113+00:00;temperature;18.80
122;SDS011;56;-0.108;34.749;2019-09-01T02:57:49.471987+00:00;P2;41.40
122;SDS011;56;-0.108;34.749;2019-09-01T02:57:49.471987+00:00;P1;45.97
121;DHT22;56;-0.108;34.749;2019-09-01T02:57:51.241695+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T02:57:51.241695+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T03:00:20.405430+00:00;P2;40.93
122;SDS011;56;-0.108;34.749;2019-09-01T03:00:20.405430+00:00;P1;46.90
121;DHT22;56;-0.108;34.749;2019-09-01T03:00:22.595860+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T03:00:22.595860+00:00;temperature;18.70
122;SDS011;56;-0.108;34.749;2019-09-01T03:02:52.877267+00:00;P2;41.57
122;SDS011;56;-0.108;34.749;2019-09-01T03:02:52.877267+00:00;P1;45.87
121;DHT22;56;-0.108;34.749;2019-09-01T03:02:54.579017+00:00;humidity;95.10
121;DHT22;56;-0.108;34.749;2019-09-01T03:02:54.579017+00:00;temperature;18.60
122;SDS011;56;-0.108;34.749;2019-09-01T03:05:23.837968+00:00;P2;41.90
122;SDS011;56;-0.108;34.749;2019-09-01T03:05:23.837968+00:00;P1;46.23
121;DHT22;56;-0.108;34.749;2019-09-01T03:05:25.572993+00:00;humidity;95.10
121;DHT22;56;-0.108;34.749;2019-09-01T03:05:25.572993+00:00;temperature;18.60
122;SDS011;56;-0.108;34.749;2019-09-01T03:07:55.491662+00:00;P2;42.30
122;SDS011;56;-0.108;34.749;2019-09-01T03:07:55.491662+00:00;P1;47.10
121;DHT22;56;-0.108;34.749;2019-09-01T03:07:57.044151+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T03:07:57.044151+00:00;temperature;18.50
122;SDS011;56;-0.108;34.749;2019-09-01T03:10:25.833269+00:00;P2;41.77
122;SDS011;56;-0.108;34.749;2019-09-01T03:10:25.833269+00:00;P1;46.03
121;DHT22;56;-0.108;34.749;2019-09-01T03:10:27.570348+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T03:10:27.570348+00:00;temperature;18.50
122;SDS011;56;-0.108;34.749;2019-09-01T03:12:56.581965+00:00;P2;40.73
122;SDS011;56;-0.108;34.749;2019-09-01T03:12:56.581965+00:00;P1;44.53
121;DHT22;56;-0.108;34.749;2019-09-01T03:12:58.640861+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T03:12:58.640861+00:00;temperature;18.50
122;SDS011;56;-0.108;34.749;2019-09-01T03:15:27.312836+00:00;P2;41.13
122;SDS011;56;-0.108;34.749;2019-09-01T03:15:27.312836+00:00;P1;45.53
121;DHT22;56;-0.108;34.749;2019-09-01T03:15:28.970489+00:00;humidity;95.00
121;DHT22;56;-0.108;34.749;2019-09-01T03:15:28.970489+00:00;temperature;18.50
122;SDS011;56;-0.108;34.749;2019-09-01T03:17:57.975613+00:00;P2;39.00
122;SDS011;56;-0.108;34.749;2019-09-01T03:17:57.975613+00:00;P1;43.13
121;DHT22;56;-0.108;34.749;2019-09-01T03:17:59.910970+00:00;humidity;95.00
